placa,old_tag,nomecomum,codigo,genero,especie,familia,subfamilia,densidade,seq,area,inv,transecto,parcela,distancia,ns,metragem,quadra,recruit,data_morta,altura,altura_1,dap.04,mv.04,obs.04,data04,pq_f4,obs_f4,am_f4,c.05,mv.05,obs.05,pp_ne5,tombada5,am_f5,pq_f5,obs_cic5,qtotal5,data_cic5,c.06,mv.06,obs.06,pp_ne6,am_f6,pq_f6,obs_cic6,data_cic6,qtotal6,data06,dap.07,c.07,mv.07,obs.07,pp_ne7,tombada7,data_c07P,c07P,obs_c07P,c07_CP,am_f7,pq_f7,nova_placa.07,data07,dap.08,c.08,mv.08,obs.08,data08,NA.CORRECAO,Cicat,Rec,c.09,mv.09,obs.09,cicat_c09,recup_c09,am_f9,pq_f9,qt_f9,obs_cic9,data_cic9,dap.10,c.10,mv.10,obs.10,data10,dap.11,c.11,mv.11,obs.11,data11,dap.12,c.12,mv.12,obs.12,data12,dap.14,c.14,mv.14,obs.14,data14,dap.16,c.16,mv.16,obs.16,data16,dap.18,c.18,mv.18,obs.18,data18,dap.22,c.22,mv.22,obs.22,alt22,data22,equipe.22,mv.23,obs.23,data23,equipe.23,dap.24,c.24,mv.24,obs.24,data24,equipe.24
1006,,tinteiro_vermelho,Micpun,Miconia,punctata (Desv.) D. Don.,Melastomataceae,,0.6315,985,1,10a20cm,K,A,2.1,S,142.4,12,i04,2007,10,10,11.4,v,,01_08_2004,,,,4,v,,0,0,,,,,,3,v,cr,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,15_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1007,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,986,1,10a20cm,K,A,1.9,S,154.7,14,i04,2004,2,2,19,m,,01_08_2004,,,,0,m,,0,0,,,,,,0,m,pr,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,15_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1008,,mangabinha,Micege,Micropholis,egensis (A. DC.) Pierre,Sapotaceae,,0.6,987,1,10a20cm,K,A,1.7,S,155.1,14,i04,,8,8,19.4,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,3,v,,0,0,,,,,,,,31_07_2007,20.5,3,v,,10_07_2008,,,,3,v,,,,,,,,,20.7,5,v,,24_06_2010,21,3,v,,18_08_2011,21.3,4,v,,20_06_2012,22.2,5,v,,08_10_2014,22.8,4,v,,15_06_2016,23.5,4,v,dap ok,18_06_2018,24.5,5,v,,,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,25.1,3,v,,18_06_2024,Santarem_Nathalia_Maraca
1009,,morango_de_macaco,Dulgui,Dulacia,guianensis (Enel) Kurtze,Olacaceae,,0.57,988,1,10a20cm,K,A,2.3,S,158.3,14,i04,2018,25,25,12.3,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,4,v,cr,0,0,,,,,,,,31_07_2007,12.5,4,v,,10_07_2008,,,,5,v,cr,,,,,,,,13.1,3,v,,24_06_2010,13.4,5,v,,18_08_2011,13.2,4,v,,20_06_2012,13.1,1,v,tombada,08_10_2014,13.2,1,v,tombada no chão,15_06_2016,,0,m,morta,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
101,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,101,1,10a20cm,F,A,-7,N,273,23,i04,2023,4,4,22.7,v,,01_08_2004,,,,1,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,22.9,4,v,,10_07_2008,,,,4,v,,,,,,,,,23.1,5,v,,28_06_2010,22.8,5,v,,16_08_2011,22.8,3,v,,20_06_2012,22.8,3,v,,08_10_2014,22.7,4,v,,09_06_2016,22.2,3,v,,18_06_2018,22.8,1,v,cqcr,,01_07_2022,Santarem_Ebis_Antonio,m,,21_06_2023,Bate; Santarém; Ebis,,0,m,morta,13_06_2024,Ebis_Santarem_Sebastiao
1010,,canela_de_veado,Amagui,Amaioua,guianensis Aubl.,Rubiaceae,,0.63,989,1,10a20cm,K,A,1.3,S,172,14,i04,2004,4,4,10.4,m,,01_08_2004,,,,0,m,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m/pp,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,15_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1011,,quaruba_cedro,Vocvis,Vochysia,vismiifolia Spr. Ex warm.,Vochysiaceae,,0.48,990,1,10a20cm,K,A,-0.6,N,217,17,i04,2004,13,13,16.1,m,,01_08_2004,,,,0,m,,0,0,,,,,,0,m,cq,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m/pr,24_06_2010,,0,m,morta,18_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,16_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1012,,mamica_de_porca,Zanrie,Zanthoxylum,riedelianum Engl.,Rutaceae,,0.48,991,1,10a20cm,K,A,-2.3,N,240,19,i04,,9,9,11.4,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,12.2,3,v,,10_07_2008,,,,4,v,,,,,,,,,14.2,5,v,,24_06_2010,14.3,5,v,,19_08_2011,14.5,5,v,,20_06_2012,14.9,3,v,,08_10_2014,15,5,v,,16_06_2016,15.2,5,v,,18_06_2018,15,5,v,,,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,15.1,5,v,,18_06_2024,Santarem_Nathalia_Maraca
1013,,canela_de_veado,Amagui,Amaioua,guianensis Aubl.,Rubiaceae,,0.63,992,1,10a20cm,K,A,-0.9,N,271.2,21,i04,,13,13,10.4,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,,,,,,,,31_07_2007,10.5,3,v,,10_07_2008,,,,5,v,,,,,,,,,10.6,5,v,,24_06_2010,10.6,5,v,,19_08_2011,10.5,5,v,,20_06_2012,11.2,3,v,,08_10_2014,11.4,5,v,,16_06_2016,11.9,5,v,,18_06_2018,11.4,3,v,,,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,11.6,5,v,,18_06_2024,Santarem_Nathalia_Maraca
1014,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,993,1,10a20cm,K,A,0.9,S,266.5,22,i04,,13,13,13.7,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,,,,,,,,31_07_2007,15.2,4,v,,10_07_2008,,,,4,v,,,,,,,,,16.4,5,v,,24_06_2010,17.5,4,v,,19_08_2011,18.6,5,v,,20_06_2012,20.3,5,v,,08_10_2014,21.8,5,v,,16_06_2016,22.3,4,v,,18_06_2018,23,5,v,,,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,23.4,4,v,,18_06_2024,Santarem_Nathalia_Maraca
1015,,tinteiro_branco,Micpyr,Miconia,pyrifolia Naudin,Melastomataceae,,0.6315,994,1,10a20cm,K,A,1.6,S,269.7,22,i04,2004,25,25,16.8,m,,01_08_2004,,,,0,m,pr,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m/pp,24_06_2010,,0,m,morta,19_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,16_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1016,,tinteiro_branco,Micpyr,Miconia,pyrifolia Naudin,Melastomataceae,,0.6315,995,1,10a20cm,K,A,-0.8,N,278.7,23,i04,2007,6,6,17.2,v,,01_08_2004,,,,4,v,,0,0,,,,,,3,v,,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m/pr,24_06_2010,,0,m,morta,19_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,16_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1017,,canela_de_veado,Amagui,Amaioua,guianensis Aubl.,Rubiaceae,,0.63,996,1,10a20cm,K,A,-0.8,N,285.9,23,i04,2014,10,10,10.9,v,,01_08_2004,,,,4,v,,0,0,,,,,,2,v,cr,0,,,,,,01_08_2006,,3,v,,0,0,,,,,,,,31_07_2007,10.6,3,v,cr,10_07_2008,,,,4,v,,,,,,,,,10.7,4,v,,24_06_2010,10.7,3,v,,19_08_2011,10.5,4,v,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,16_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1018,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,997,1,10a20cm,K,A,-1.6,N,286.8,23,i04,,12,12,10.4,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,cr,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,11.7,4,v,cr,10_07_2008,,,,4,v,,,,,,,,,12.4,5,v,cr,24_06_2010,12.8,5,v,,19_08_2011,13.2,4,v,,20_06_2012,14.8,4,v,,08_10_2014,15.8,5,v,,16_06_2016,17.2,4,v,,18_06_2018,18,4,v,,,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,19.3,5,v,,18_06_2024,Santarem_Nathalia_Maraca
1019,,breu_sucurubinha,Tragla,Trattinnickia,glaziovii Swart.,Burseraceae,,0.52,998,1,10a20cm,K,A,-0.7,N,292.4,23,i04,2022,13,13,17.2,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,3,v,,0,0,,,,,,,,31_07_2007,17.7,3,v,,10_07_2008,,,,4,v,,,,,,,,,18.2,3,v,,24_06_2010,18.3,5,v,,19_08_2011,18.4,5,v,,20_06_2012,18.9,3,v,,08_10_2014,19.2,3,v,,16_06_2016,14.8,1,v,cqcr,18_06_2018,,0,m,morta,,11_07_2022,Santarem_Ebis_Bat,,,,,,0,m,,10_06_2024,
102,,urucurana_folha_grande,Slosin,Sloanea,sinemariensis Aubl.,Elaeocarpaceae,,0.75,102,1,10a20cm,F,A,0.5,S,254,24,i04,2014,8,8,26.4,v,,01_08_2004,,,,5,v,cr,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,5,v,,0,0,,,,,,,,31_07_2007,26.6,4,v,,10_07_2008,,,,4,v,,,,,,,,,26.7,5,v,cr,28_06_2010,26.5,3,v,,12_08_2011,26.6,3,v,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,09_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1020,,canela_de_veado,Amagui,Amaioua,guianensis Aubl.,Rubiaceae,,0.63,999,1,10a20cm,K,A,-0.6,N,296.2,23,i04,2024,8,8,10.8,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,5,v,,0,0,,,,,,,,31_07_2007,10.9,4,v,,10_07_2008,,,,5,v,,,,,,,,,11.1,5,v,,24_06_2010,11.1,5,v,,19_08_2011,11.5,4,v,,20_06_2012,11.2,3,v,,08_10_2014,11.7,2,v,,16_06_2016,11.3,3,v,,18_06_2018,11,2,v,,,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,,0,m,morta,18_06_2024,Santarem_Nathalia_Maraca
1021,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,1000,1,10a20cm,K,A,-2.4,N,297.4,23,i04,2016,10,10,10.6,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,4,v,cr,0,0,,,,,,,,31_07_2007,10.5,3,v,,10_07_2008,,,,2,v,,,,,,,,,10.6,3,v,,24_06_2010,10.9,1,v,,19_08_2011,10.1,2,v,cqcr,20_06_2012,11.1,1,v,,08_10_2014,,0,m,morta,16_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1022,,tatapiririca,Tapgui,Tapirira,guianensis Aubl.,Anacardiaceae,,0.457,1001,1,10a20cm,K,A,2.4,S,281.8,24,i04,,14,14,11.9,v,,01_08_2004,,,,5,v,,0,0,,,,,,5,v,,0,,,,,,01_08_2006,,5,v,,0,0,,,,,,,,31_07_2007,13.4,5,v,,10_07_2008,,,,5,v,,,,,,,,,13.8,3,v,,24_06_2010,14.1,5,v,,19_08_2011,14.3,5,v,,20_06_2012,15.2,3,v,,08_10_2014,15.8,4,v,,16_06_2016,16.5,4,v,,18_06_2018,16.5,1,v,"cqcr, toco",,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,16.6,1,v,cq/cr,18_06_2024,Santarem_Nathalia_Maraca
1023,,louro_prata,Ocogui,Ocotea,guianensis Aubl.,Lauraceae,,0.56,1002,1,10a20cm,K,A,1.9,S,298.8,24,i04,2016,9,9,19.5,v,,01_08_2004,,,,5,v,,0,0,,,,,,3,v,,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,20.5,3,v,,10_07_2008,,,,4,v,,,,,,,,,20.8,4,v,,24_06_2010,20.9,3,v,,19_08_2011,20.9,4,v,,20_06_2012,21,1,v,,08_10_2014,,0,m,morta,16_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1024,,canela_de_veado,Amagui,Amaioua,guianensis Aubl.,Rubiaceae,,0.63,1003,1,10a20cm,K,A,-0.8,N,319.3,25,i04,2018,10,10,10.8,v,,01_08_2004,,,,5,v,,0,0,,,,,,3,v,cr,0,,,,,,01_08_2006,,3,v,,0,0,,,,,,,,31_07_2007,10.6,3,v,,10_07_2008,,,,3,v,,,,,,,,,10.9,3,v,,24_06_2010,10.8,3,v,,19_08_2011,10.7,3,v,,20_06_2012,10.5,3,v,morta,08_10_2014,10.4,2,v,,16_06_2016,,0,m,morta,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1025A,,cipo_falso_curare,Strxin,Strychnos,xinguensis Krukoff.,Loganiaceae,,0.54,6130,1,10a20cm,K,A,-1.9,N,319.7,25,i04,2022,10,10,15.1,v,Bifurcada,01_08_2004,,,,5,v,,0,0,,,,,,5,v,cipo,0,,,,,,01_08_2006,,,v,,0,0,,,,,,,,01_08_2007,15.6,4,v,,10_07_2008,,,,3,v,,,,,,,,,16.2,2,v,,24_06_2010,16.2,2,v,,19_08_2011,16.2,2,v,,20_06_2012,17.3,2,v,,08_10_2014,11.2,2,v,,16_06_2016,11.9,2,v,morrendo,18_06_2018,,0,m,morta,,11_07_2022,Santarem_Ebis_Bat,,,,,,0,m,,10_06_2024,
1025B,,cipo_falso_curare,Strxin,Strychnos,xinguensis Krukoff.,Loganiaceae,,0.54,6131,1,10a20cm,K,A,-1.9,N,319.7,25,i04,2024,15,15,14.3,v,Bifurcada,01_08_2004,,,,5,v,,0,0,,,,,,5,v,cipo,0,,,,,,01_08_2006,,,v,,0,0,,,,,,,,01_08_2007,14.3,3,v,,10_07_2008,,,,2,v,,,,,,,,,14.3,2,v,,24_06_2010,15.2,2,v,,19_08_2011,15.4,2,v,,20_06_2012,15.8,2,v,,08_10_2014,16.8,2,v,,16_06_2016,19.3,2,v,morrendo,18_06_2018,19.5,2,v,,,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,,0,m,morta,18_06_2024,Santarem_Nathalia_Maraca
1026,,muruci_da_mata,Byraer,Byrsonima,aerugo Sagot.,Malpighiaceae,,0.63,1004,1,10a20cm,K,A,1.6,S,313.3,26,i04,2006,13,13,14.3,v,,01_08_2004,,,,5,v,,0,0,,,,,,0,m,,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m/pp,24_06_2010,,0,m,morta,19_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,16_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
1027,,pau_de_cobra,Ourdis,Ouratea,discophora Ducke,Ochnaceae,,0.79,1005,1,10a20cm,K,A,0.9,S,318.4,26,i04,,11,11,15.4,v,,01_08_2004,,,,4,v,,0,0,,,,,,3,v,,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,15.7,3,v,,10_07_2008,,,,3,v,,,,,,,,,15.6,3,v,,24_06_2010,15.7,4,v,,19_08_2011,15.7,5,v,,20_06_2012,15.8,3,v,,08_10_2014,15.9,3,v,,16_06_2016,17,4,v,,18_06_2018,16.4,3,v,,,11_07_2022,Santarem_Ebis_Bat,v,,22_06_2023,Bate; Leo,16.3,5,v,,18_06_2024,Santarem_Nathalia_Maraca
1028,,canela_de_veado,Amagui,Amaioua,guianensis Aubl.,Rubiaceae,,0.63,1006,1,10a20cm,K,A,0.8,S,322.4,26,i04,,11,11,11.6,v,,01_08_2004,,,,5,v,,0,0,,,,,,4,v,,0,,,,,,01_08_2006,,4,v,,0,0,,,,,,,,31_07_2007,11.8,4,v,,10_07_2008,,,,4,v,,,,,,,,,11.9,5,v,,24_06_2010,12.4,5,v,,19_08_2011,12.7,4,v,,20_06_2012,13.4,5,v,,08_10_2014,13.8,4,v,,16_06_2016,14.4,5,v,,18_06_2018,14.5,1,v,cqcr,,11_07_2022,Santarem_Ebis_Bat,v,cq,22_06_2023,Bate; Leo,14.3,1,v,cq/cr,18_06_2024,Santarem_Nathalia_Maraca
1029,,sapateiro,Micmin,Miconia,minutiflora (Bonpl.) DC.,Melastomataceae,,0.6315,1007,1,10a20cm,K,A,-0.8,N,326.7,27,i04,2004,19,19,15.5,m,,01_08_2004,,,,0,m,pr,0,0,,,,,,0,m,pr,0,,,,,,01_08_2006,,0,m,,0,0,,,,,,,,31_07_2007,,0,m,,10_07_2008,,,,0,m,,,,,,,,,,0,m,m/pp,24_06_2010,,0,m,morta,19_08_2011,,0,m,,20_06_2012,,0,m,morta,08_10_2014,,0,m,morta,16_06_2016,,0,m,,18_06_2018,,0,m,,,01_07_2022,,,,,,,0,m,,10_06_2024,
